greek_lobe,citronella,cva,ethanol,geosmin,heptanone,hexanol,isoamylacetate,mch,octanol,peppermint,vinegar,yeast
α'1,0.48162351140661286,0.5865588012239629,0.27685867637041606,0.18706817142592141,0.5664989175321009,0.5225374774917813,0.5548397852509349,0.4044280934230477,0.7449301706145066,0.7225828673568899,0.24639370394775323,0.3414626478344344
α'2,0.36769208762054406,0.458172496604876,0.25527028154004905,0.2091097187187854,0.37421228909886906,0.24570704386150616,0.45898177283698255,0.23542536764741778,0.627846059809609,0.4470053554454786,0.2308217548077919,0.3424185259093963
α'3,0.9049013499242392,0.8601253676050588,1.1171333922808424,0.524500824850897,0.5817396590663323,0.706133698537279,0.8143306263807933,0.4364566896848763,0.6432259681639089,0.9656726287508737,0.8183441920904816,1.0150776663425154
α1,0.1415555482150782,0.11871002205310198,0.2086729261845205,0.07421927536220088,0.1424320715010902,0.28074274039840236,0.23329088478967314,0.31607875783404155,0.3460819668189938,0.16567365225527567,0.0880589400538083,0.11628852674726249
α2,0.3652261291044442,0.4786268153580405,0.3196705889928385,0.21231676839752509,0.3608412978545146,0.2756166678066906,0.5087271558829418,0.22513585734035144,0.6615750855164525,0.4216716747578666,0.23533686351906105,0.32319536585493097
α3,0.4314500513248779,0.42464134409512955,0.3578951202217689,0.1625532946735832,0.4689531447526805,0.3688236595192681,0.6234529074841599,0.40487385839669093,0.8428797166202404,0.561266842971884,0.17204533472387532,0.3011969887260414
β'1,0.8418459311699881,1.106422533852668,1.301551027448608,0.9434669466957895,0.9024607343212729,1.246798283284274,1.3806068014500206,1.3019422095868178,1.2721723463205468,1.5248506280354772,0.9190131129468976,1.051011771786779
β'2,0.6243289685798952,0.42048902077044803,0.47651303986956633,0.47974772250873676,0.5399059035138076,0.7838628231579937,0.5555618998157354,1.1446119325840112,0.6753461735645978,0.692589045099582,0.8594917650956239,0.930360406315798
β1,0.3796453835052487,0.3118864428424946,0.49821183764416455,0.36049713496300334,0.3136146820202015,0.6078479272160032,0.42777351411500375,1.0597697897567186,0.7404888097730415,0.4866097303549214,0.6165605496132477,0.4967829893597518
β2,0.5613571516857878,0.6430328749410706,0.701014643431746,0.5633445875862297,0.4734456904838484,0.7758585202903873,0.462795380811588,1.2933350082496473,0.636173974025819,0.5133416597073952,0.8579872672370338,0.7617695363585565
γ1,0.33170061544060037,0.3155994112234062,0.277398174535815,0.16169089742499426,0.630584439297676,0.5523946250535046,0.6493129433897363,0.5180658715901153,0.5545963276559617,0.570122468208837,0.31684960489820596,0.4309191419394121
γ2,0.497043611172064,0.5831499100502202,0.3835313375850976,0.21219958521629165,0.5300494388879287,0.6637386328401196,0.6226419538399064,0.49502710382088483,0.699499277891921,0.6773758064372641,0.27714831942056634,0.35399054416021936
γ3,0.729575463124847,0.6107240816090977,0.5555441058280771,0.2886187903528216,1.0168425025214072,0.9864199595429483,0.9856705061519179,0.8455416779081439,0.8089045493527739,1.1893138374208225,0.7102349756038706,0.7984827800432326
γ4,0.48924120209262817,0.28815885688611165,0.34222422841265004,0.2990076837091142,0.4537767056695077,0.9005652512264092,0.47416922043750565,1.1680059726933736,0.3769622963530868,0.6775615456503629,0.9916051000755471,0.9108564927061263
γ5,0.15880309082606361,0.08646025580188726,0.09654972044210353,0.11640997827413549,0.1729630576062771,0.2897413539264152,0.17936547249076162,0.36447712805715615,0.1265331274033668,0.2453889490377465,0.247191703449846,0.2662814938239254
